"Date Time","Intersection Street One","Intersection Street Two","Address Street Number","Address Street Name","Number of Motorists","Number of Cyclists","Number of Pedestrians","Number of Injured Individuals","Hospitalizations (estimated)","Neighborhood (estimated)"
"2026 Aug 11 11:27:00 AM","GORE STREET","LAMBERT STREET",,,"1","1","0","1","1","East Cambridge"
"2026 Aug 11 11:00:00 AM",,,"101","ROGER STREET","1","0","0","0","0","East Cambridge"
"2026 Aug 11 09:20:00 AM",,,"324","WALDEN ST","2","0","0","0","0","Neighborhood Nine"
"2026 Aug 11 07:50:00 AM",,,"320","WEBSTER AVE","2","0","0","0","0","Wellington-Harrington"
"2026 Aug 10 08:10:00 PM",,,"252","HURON AVENUE","0","0","0","0","0","West Cambridge"
"2026 Aug 10 05:37:00 PM",,,"20","SACRAMENTO PLACE","2","0","0","0","0","Baldwin"
"2026 Aug 10 05:30:00 PM","FRANKLIN","BROOKLINE",,,"0","0","0","0","0",
"2026 Aug 10 01:50:00 PM",,,"14","HOAWRD STREET","2","0","0","0","0","Riverside"
"2026 Aug 10 09:45:00 AM",,,"6","UPTON","0","0","0","0","0",
"2026 Aug 10 09:40:00 AM","PORTLAND ST","TECHNOLOGY SQUARE",,,"2","0","0","0","0",
"2026 Aug 10 07:30:00 AM",,,"349","WINDSOR STREET","0","0","0","0","0","Wellington-Harrington"
"2026 Aug 09 02:55:00 AM",,,"100","MAIN STREET","1","0","0","1","1","Area 2/MIT"
"2026 Aug 09 01:43:00 AM",,,"100","MAIN STREET","2","0","0","0","0","Area 2/MIT"
"2026 Aug 09 01:05:00 AM","CAMBRIDGE STREET","HAMPSHIRE STREET",,,"2","0","0","0","0","Wellington-Harrington"
"2026 Aug 08 10:15:00 PM","CAMBRIDGE ST","WARREN ST",,,"2","0","0","1","0","Wellington-Harrington"
"2026 Aug 08 06:13:00 PM",,,"1","WHITE STREET","1","0","0","0","0","North Cambridge"
"2026 Aug 07 05:50:00 PM","WALDEN STREET","SHERMAN STREET",,,"1","0","0","0","0","Neighborhood Nine"
"2026 Aug 07 05:15:00 PM","UNIVERSITY RD","BENNETT ST",,,"1","0","0","0","0","West Cambridge"
"2026 Aug 07 01:23:00 PM","CONCORD AVE",,"603","CONCORD AVE","2","0","0","0","0","Cambridge Highlands"
"2026 Aug 06 08:20:00 PM","MASS AVE","RICE STREET",,,"0","1","0","1","1","North Cambridge"
"2026 Aug 06 03:00:00 PM",,,"46","DANA STREET","0","0","0","0","0","Mid-Cambridge"
"2026 Aug 06 12:02:00 PM","CAMBRIDGE STREET","SUMNER ROAD",,,"2","0","0","0","0","Mid-Cambridge"
"2026 Aug 06 04:17:00 AM",,,"114","PEARL STREET","1","0","0","0","0","Cambridgeport"
"2026 Aug 05 04:29:00 PM",,,"66","CHESTNUT STREET","2","0","0","0","0","Cambridgeport"
"2026 Aug 05 02:31:00 PM","JFK ST.","ELIOT ST",,,"2","0","0","0","0","West Cambridge"
"2026 Aug 05 02:00:00 PM","BEECH ST","MASSACHUSETTS AVE",,,"1","1","0","0","0","North Cambridge"
"2026 Aug 05 12:10:00 PM",,,"220","ELM ST","1","0","0","0","0","Wellington-Harrington"
"2026 Aug 05 08:09:00 AM","CAMBRIDGE STREET","COLUMBIA STREET",,,"1","1","0","0","0","Wellington-Harrington"
"2026 Aug 04 04:27:00 PM",,,"1493","CAMBRIDGE STREET","2","0","0","0","0","Mid-Cambridge"
"2026 Aug 04 03:43:00 PM","COLUMBIA STREET","BISHOP ALLEN DRIVE",,,"1","0","0","1","0","The Port"
"2026 Aug 04 03:40:00 PM",,,"118","MAGAZINE STREET","1","0","0","0","0","Cambridgeport"
"2026 Aug 04 12:50:00 PM","PORTLAND STREET","MAIN STREET",,,"0","0","0","0","0","The Port"
"2026 Aug 03 05:08:00 PM","MASSACHUSETTS","WINDOSR STREET",,,"0","0","1","1","0",
"2026 Aug 02 08:00:00 PM",,,"28","HIGHLAND AVENUE","0","0","0","0","0","Mid-Cambridge"
"2026 Aug 01 09:13:00 PM","ASH STREET","ASH STREET PLACE",,,"2","0","0","0","0",
"2026 Jul 31 04:30:00 PM","CAMBRIDGE ST","SPRINGFIELD ST",,,"2","0","0","0","0","Wellington-Harrington"
"2026 Jul 31 10:02:00 AM",,,"171","SHERMAN STREET","1","0","0","0","0","North Cambridge"
"2026 Jul 31 03:00:00 AM","ELM STREET","CAMBRIDGE STREET",,,"0","0","0","0","0","Wellington-Harrington"
"2026 Jul 30 09:30:00 PM",,,"309","BRODWAY","0","0","0","0","0","The Port"
"2026 Jul 30 04:07:00 PM",,,"262","MONSIGNOR OBRIEN HWY","1","0","0","0","0","East Cambridge"
"2026 Jul 30 02:50:00 PM","MAIN STREET","WADSWORTH STREET",,"MAIN STREET & WADSWORTH STREET","1","1","0","0","0","Area 2/MIT"
"2026 Jul 30 08:15:00 AM",,,"15","LEONARD  AVE","1","0","0","0","0","Mid-Cambridge"
"2026 Jul 29 10:51:00 PM","MASSACHUSETTS AVE","CAMBRIDGE ST",,,"2","0","0","0","0","Neighborhood Nine"
"2026 Jul 29 03:00:00 PM",,,"77","MASSACHUSETTS AVENUE","2","0","0","2","1","Area 2/MIT"
"2026 Jul 29 12:06:00 PM",,,"178","COOLIDGE HILL RD","0","0","0","0","0","West Cambridge"
"2026 Jul 29 09:55:00 AM","MAIN ST","VASSAR ST",,,"2","0","0","0","0",
"2026 Jul 29 09:23:00 AM",,,"810","MAIN STREET","2","0","0","0","0","The Port"
"2026 Jul 28 06:30:00 PM",,,,"RUTLAND STREET","0","0","0","0","0",
"2026 Jul 28 05:25:00 PM",,,"150","CAMBRIDGE STREET","1","0","0","0","0","East Cambridge"
"2026 Jul 28 04:19:00 PM",,,"1493","CAMBRIDGE STREET","2","0","0","0","0","Mid-Cambridge"
"2026 Jul 28 10:51:00 AM",,,"95","PLYMPTON ST","0","0","0","0","0","Riverside"
"2026 Jul 28 09:40:00 AM","OXFORD STREET","FOREST STREET",,,"1","0","0","0","0","Baldwin"
"2026 Jul 28 01:30:00 AM",,,"765","MASSACHUSETTS AVENUE","0","0","1","1","1","Mid-Cambridge"
"2026 Jul 27 01:08:00 PM","BRATTLE ST","PALMER ST",,,"1","0","0","0","0","West Cambridge"
"2026 Jul 27 12:30:00 PM",,,"76","RESERVOIR STREET","0","0","0","0","0","West Cambridge"
"2026 Jul 27 12:04:00 PM",,,"192","ALEWIFE BROOK PKWY","1","0","0","1","1","North Cambridge"
"2026 Jul 27 11:55:00 AM",,,"147","HAMPSHIRE STREET","1","1","0","1","1","Wellington-Harrington"
"2026 Jul 27 10:12:00 AM",,,"6","MASON ST","1","0","0","0","0","West Cambridge"
"2026 Jul 27 08:51:00 AM","OXFORD STREET","PRENTISS ST",,,"0","0","0","0","0","Baldwin"
"2026 Jul 26 10:05:00 PM",,,"2","GARDEN STREET","2","0","0","0","0","West Cambridge"
"2026 Jul 26 04:30:00 PM","CAMBRIDGE STREET","WINDSOR STREET",,,"1","0","0","0","0","Wellington-Harrington"
"2026 Jul 25 09:23:00 PM",,,"1","BROADWAY","1","0","0","0","0","East Cambridge"
"2026 Jul 25 07:05:00 PM",,,,"EDUCATION CIRCLE","1","0","0","2","2",
"2026 Jul 25 06:32:00 PM",,,"54","BERKSHIRE STREET","0","0","0","0","0","Wellington-Harrington"
"2026 Jul 25 03:33:00 PM",,,"30","LINE STREET","1","0","0","0","0","West Cambridge"
"2026 Jul 25 01:13:00 PM","MASSACHUSETTS AVENUE","SOMERVILLE AVENUE",,,"1","0","0","0","0","North Cambridge"
"2026 Jul 25 10:00:00 AM","KELLY ROAD","MAGAZINE ST",,,"0","0","0","0","0","Cambridgeport"
"2026 Jul 24 10:03:00 PM",,,"17","SACRAMENTO STREET","2","0","0","0","0","Baldwin"
"2026 Jul 24 05:28:00 PM","CHESTNUT STREET","BROOKLINE STREET",,,"1","0","0","0","0","Cambridgeport"
"2026 Jul 24 04:52:00 PM","SECOND ST","ROGERS ST",,,"2","0","0","1","0","East Cambridge"
"2026 Jul 24 03:38:00 PM","MASSACHUSETTS AVENUE","GOLD STAR ROAD",,,"2","0","0","1","1","North Cambridge"
"2026 Jul 24 08:01:00 AM",,,"225","RINDGE AVENUE","1","0","0","1","1","North Cambridge"
"2026 Jul 24 07:45:00 AM",,,"27","OTIS STREET","0","0","0","0","0","East Cambridge"
"2026 Jul 24 01:15:00 AM","CAMBRIDGE STREET","THIRD STREET",,,"2","0","0","0","0","East Cambridge"
"2026 Jul 23 08:24:00 PM","MASS AVE","GAEFIELD STREET",,,"2","0","0","0","0","Neighborhood Nine"
"2026 Jul 23 05:00:00 PM",,,"3","FRESH POND PLACE","0","0","0","0","0","Strawberry Hill"
